City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,San Antonio,US,2021-09-28 11:37:14,29.4241,-98.4936,78.55,89,75,4.61
129,Tasiilaq,GL,2021-09-28 11:39:13,65.6145,-37.6368,27.84,52,6,5.97
130,Ponta Delgada,PT,2021-09-28 11:39:13,37.7333,-25.6667,78.49,83,20,8.05
131,Waipawa,NZ,2021-09-28 11:39:14,-41.4122,175.5153,40.3,84,24,4.38
132,Southbridge,US,2021-09-28 11:39:14,42.0751,-72.0334,65.26,93,87,6.44
133,Port Lincoln,AU,2021-09-28 11:39:14,-34.7333,135.8667,56.93,86,13,4.92
134,Ribeira Grande,PT,2021-09-28 11:39:15,38.5167,-28.7,75.6,73,40,12.66
135,Kaeng Khoi,TH,2021-09-28 11:39:15,14.5862,100.9976,82.17,83,77,2.3
136,Along,IN,2021-09-28 11:39:15,28.1667,94.7667,79.32,81,1,0.6
137,Zuya,UA,2021-09-28 11:39:16,45.0531,34.3154,59.16,47,56,7.45
138,Praya,CV,2021-09-28 11:39:06,14.9215,-23.5087,84.74,65,20,14.97
139,Padang,ID,2021-09-28 11:39:16,-0.9492,100.3543,75.25,87,99,3.11
140,High Level,CA,2021-09-28 11:39:16,58.5169,-117.136,48.31,100,90,5.75
141,Poum,NC,2021-09-28 11:39:17,-20.2333,164.0167,72.21,74,52,8.61
142,Malindi,KE,2021-09-28 11:39:17,-3.2175,40.1191,81.5,71,53,15.97
143,Copiapo,CL,2021-09-28 11:39:17,-27.3667,-70.3333,49.69,25,0,0.74
144,Mattru,SL,2021-09-28 11:39:18,7.6244,-11.8332,85.62,60,99,3.47
145,Kununurra,AU,2021-09-28 11:39:18,-15.7667,128.7333,89.58,48,81,9.22
146,Coahuayana,MX,2021-09-28 11:39:18,18.7333,-103.6833,74.41,86,97,3.71
147,Ramgarh,IN,2021-09-28 11:39:19,23.6333,85.5167,84.25,81,73,4.99
148,Upernavik,GL,2021-09-28 11:39:19,72.7868,-56.1549,25.88,50,16,4.16
149,Haines Junction,CA,2021-09-28 11:39:19,60.7522,-137.5108,28.35,74,58,3.44
150,Dunedin,NZ,2021-09-28 11:39:19,-45.8742,170.5036,46.8,65,69,5.79
151,Ilulissat,GL,2021-09-28 11:39:20,69.2167,-51.1,24.82,36,1,17.27
152,Voyvozh,RU,2021-09-28 11:39:20,62.892,54.9635,41.13,73,99,4.5
153,Te Anau,NZ,2021-09-28 11:39:20,-45.4167,167.7167,40.1,96,77,4.65
154,Mawlaik,MM,2021-09-28 11:39:21,23.6333,94.4167,79.54,86,50,2.46
155,Leningradskiy,RU,2021-09-28 11:39:21,69.3833,178.4167,22.89,96,100,6.22
156,Dobson,US,2021-09-28 11:39:21,36.3957,-80.7226,67.32,89,4,4.41
157,Le Port,RE,2021-09-28 11:39:22,-20.9373,55.2919,78.8,70,16,5.75
158,Buchanan,LR,2021-09-28 11:39:22,5.8808,-10.0467,85.96,68,75,4.47
159,Pascagoula,US,2021-09-28 11:36:52,30.3658,-88.5561,75.25,100,90,0.0
160,Kargasok,RU,2021-09-28 11:39:22,59.0556,80.8572,40.87,74,74,7.47
161,West Lafayette,US,2021-09-28 11:39:23,40.4259,-86.9081,61.21,97,90,3.44
162,Airai,TL,2021-09-28 11:39:23,-8.9266,125.4092,61.47,87,90,0.36
163,Orocue,CO,2021-09-28 11:39:23,4.7912,-71.3354,78.08,81,90,1.52
164,Sao Filipe,CV,2021-09-28 11:39:24,14.8961,-24.4956,81.23,75,11,5.93
165,Midland,US,2021-09-28 11:39:24,31.9974,-102.0779,71.85,69,1,0.0
166,Nanortalik,GL,2021-09-28 11:39:24,60.1432,-45.2371,37.31,56,2,7.85
167,Malkangiri,IN,2021-09-28 11:39:25,18.35,81.9,79.12,91,90,3.62
168,Evensk,RU,2021-09-28 11:39:25,61.95,159.2333,31.19,49,78,6.93
169,Sola,VU,2021-09-28 11:39:25,-13.8833,167.55,79.18,83,51,17.6
170,Korisos,GR,2021-09-28 11:39:26,40.5,21.3833,81.61,30,98,4.47
171,Mount Gambier,AU,2021-09-28 11:39:26,-37.8333,140.7667,58.91,72,90,13.8
172,Salalah,OM,2021-09-28 11:39:26,17.0151,54.0924,89.69,62,20,5.75
173,Izhma,RU,2021-09-28 11:39:26,65.0083,53.9113,45.1,91,100,4.03
174,East London,ZA,2021-09-28 11:35:55,-33.0153,27.9116,61.74,88,40,13.8
175,Port Hardy,CA,2021-09-28 11:39:27,50.6996,-127.4199,51.8,93,75,4.61
176,Hermiston,US,2021-09-28 11:39:27,45.8404,-119.2895,55.42,80,1,11.5
177,Alice Springs,AU,2021-09-28 11:39:27,-23.7,133.8833,78.35,15,49,9.22
178,Clyde River,CA,2021-09-28 11:39:28,70.4692,-68.5914,28.56,82,100,10.04
179,Morogoro,TZ,2021-09-28 11:39:28,-6.8167,37.6667,91.8,28,13,7.09
180,Necochea,AR,2021-09-28 11:39:28,-38.5473,-58.7368,48.99,48,3,6.08
181,Owase,JP,2021-09-28 11:39:29,34.0667,136.2,70.59,86,61,3.49
182,Ola,RU,2021-09-28 11:39:29,59.5833,151.2833,43.97,93,100,6.71
183,Biloela,AU,2021-09-28 11:39:29,-24.4167,150.5,61.77,77,93,10.87
184,Muzhi,RU,2021-09-28 11:39:30,65.3667,64.6667,40.64,65,98,4.68
185,Ponta Do Sol,PT,2021-09-28 11:39:30,32.6667,-17.1,81.72,65,32,2.37
186,Manono,CD,2021-09-28 11:39:30,-7.3,27.4167,93.45,33,61,3.67
187,Dudinka,RU,2021-09-28 11:39:31,69.4058,86.1778,32.95,70,94,2.86
188,Aleksandrovskiy Zavod,RU,2021-09-28 11:39:31,50.9237,117.9374,34.05,62,64,7.25
189,Tual,ID,2021-09-28 11:39:31,-5.6667,132.75,81.61,84,89,8.59
190,Uyuni,BO,2021-09-28 11:39:32,-20.4597,-66.825,46.96,20,2,1.07
191,Samarai,PG,2021-09-28 11:39:32,-10.6167,150.6667,78.82,87,99,14.41
192,New Norfolk,AU,2021-09-28 11:39:32,-42.7826,147.0587,49.71,68,100,1.68
193,Constitucion,CL,2021-09-28 11:35:56,-35.3333,-72.4167,52.47,50,0,3.74
194,Tornio,FI,2021-09-28 11:39:33,65.8481,24.1466,53.62,83,100,9.86
195,Conde,BR,2021-09-28 11:39:33,-7.2597,-34.9075,78.26,83,75,12.66
196,Rundu,NA,2021-09-28 11:39:33,-17.9333,19.7667,98.01,7,0,6.44
197,Vila Velha,BR,2021-09-28 11:38:27,-20.3297,-40.2925,76.95,73,75,9.22
198,Meulaboh,ID,2021-09-28 11:39:34,4.1363,96.1285,76.62,91,100,7.63
199,North Ogden,US,2021-09-28 11:37:48,41.3072,-111.9602,70.48,33,1,1.01
200,Catuday,PH,2021-09-28 11:39:34,16.2923,119.8062,81.99,76,27,0.89
201,Skagen,DK,2021-09-28 11:39:34,57.7209,10.5839,62.28,78,38,8.16
202,Kaeo,NZ,2021-09-28 11:39:35,-35.1,173.7833,45.32,87,4,4.52
203,Farmington,US,2021-09-28 11:35:30,36.7281,-108.2187,54.28,96,90,0.0
204,Sumenep,ID,2021-09-28 11:39:35,-7.0167,113.8667,82.35,71,56,14.61
205,Kyabe,TD,2021-09-28 11:39:36,9.4515,18.9449,80.31,70,100,3.4
206,Lazaro Cardenas,MX,2021-09-28 11:39:36,17.9583,-102.2,75.76,81,100,4.56
207,Parana,AR,2021-09-28 11:39:36,-31.732,-60.5238,61.57,92,94,8.3
208,Portobelo,PA,2021-09-28 11:39:37,9.55,-79.65,77.41,82,99,4.68
209,North Platte,US,2021-09-28 11:36:30,41.1239,-100.7654,60.39,87,1,0.0
210,Longyearbyen,SJ,2021-09-28 11:39:37,78.2186,15.6401,35.44,93,75,10.36
211,Kaitangata,NZ,2021-09-28 11:39:37,-46.2817,169.8464,46.92,73,59,5.26
212,Chicama,PE,2021-09-28 11:39:38,-7.8447,-79.1469,57.74,86,39,2.51
213,Khonsa,IN,2021-09-28 11:39:38,27.0167,95.5667,69.75,96,12,4.41
214,Maldonado,UY,2021-09-28 11:39:38,-34.6667,-54.9167,56.59,85,95,11.39
215,Chuy,UY,2021-09-28 11:39:39,-33.6971,-53.4616,60.66,89,100,11.12
