City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
568,Rosarito,MX,76.93,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
569,Santa Cruz Del Sur,CU,76.64,scattered clouds,20.7147,-77.9956,
570,Progreso,MX,82.51,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
574,Kiunga,PG,86.95,light rain,-6.1219,141.2906,Airport Lodge Kiunga
575,Pajapan,MX,77.34,overcast clouds,18.25,-94.7,Hotel Del Carmen
579,Tessalit,ML,83.07,overcast clouds,20.1986,1.0114,
581,Gizo,SB,84.72,overcast clouds,-8.103,156.8419,Imagination Island
582,Araouane,ML,85.89,broken clouds,18.9048,-3.5265,
588,Tiarei,PF,80.62,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
590,Half Moon Bay,US,80.78,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
600,Tura,IN,81.82,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
601,Byron Bay,AU,75.31,moderate rain,-28.65,153.6167,Backpackers Inn on the Beach
603,Port-Gentil,GA,77.27,overcast clouds,-0.7193,8.7815,Fengshui Residence
604,Balikpapan,ID,79.16,light rain,-1.2675,116.8289,ibis Balikpapan
605,Port Macquarie,AU,76.37,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
609,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
610,Presidencia Roque Saenz Pena,AR,77.72,broken clouds,-26.7852,-60.4388,Hotel Gualok
614,Kalmunai,LK,79.65,moderate rain,7.4167,81.8167,VS Villa
616,Rincon,US,76.12,few clouds,32.296,-81.2354,Days Inn Rincon
618,Trincomalee,LK,78.21,light rain,8.5711,81.2335,Welcombe Hotel
624,Port Blair,IN,84.06,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
627,Cockburn Town,TC,83.43,light rain,21.4612,-71.1419,Osprey Beach Hotel
